Name of Person or Organization;Date of Gift;Value of Gift
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$100
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$100
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$225
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$400
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$500
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$550
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$600
LEUKEMIA & LYMPHOMA SOCIETY;10.05.2007;$650
LEUKEMIA & LYMPHOMA SOCIETY;10/16/2007;$200
LEUKEMIA & LYMPHOMA SOCIETY;10/24/2007;$50
LEUKEMIA & LYMPHOMA SOCIETY;10/24/2007;$50
LEUKEMIA & LYMPHOMA SOCIETY;10/24/2007;$150
LEUKEMIA & LYMPHOMA SOCIETY;10/24/2007;$500
LEUKEMIA & LYMPHOMA SOCIETY;10/24/2007;$575
LEUKEMIA & LYMPHOMA SOCIETY;11/15/2007;$50
LEUKEMIA & LYMPHOMA SOCIETY;11/15/2007;$100
LEUKEMIA & LYMPHOMA SOCIETY;11/15/2007;$100
LEUKEMIA & LYMPHOMA SOCIETY;11/15/2007;$150
LEUKEMIA & LYMPHOMA SOCIETY;11/15/2007;$175
LEUKEMIA & LYMPHOMA SOCIETY;11/15/2007;$250
LEUKEMIA & LYMPHOMA SOCIETY;11/15/2007;$250
LEUKEMIA & LYMPHOMA SOCIETY;11/15/2007;$550
LEUKEMIA & LYMPHOMA SOCIETY;11/15/2007;$800
LEUKEMIA & LYMPHOMA SOCIETY;11/15/2007;$5,025
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$50
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$100
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$100
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$150
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$175
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$175
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$425
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$450
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$1,150
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$1,950
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$2,427
LEUKEMIA & LYMPHOMA SOCIETY;12/19/2007;$7,885
LEUKEMIA SOCIETY OF AMERICA;11/15/2007;$1,000
LEUKEMIA SOCIETY OF AMERICA;12/19/2007;$2,000
LEUKEMIA SOCIETY OF AMERICA;02.04.2008;$2,000
LEUKEMIA SOCIETY OF AMERICA;5/19/2008;$450
LEUKEMIA SOCIETY OF AMERICA;5/23/2008;$312
LEUKEMIA SOCIETY OF AMERICA;08.01.2008;$275
LEUKEMIA SOCIETY OF AMERICA;08.05.2008;$1,060
LEWIS AND CLARK COLLEGE;4/25/2008;$750
LIBERTY SCIENCE CENTER;10.12.2007;$500
LIES;06.11.2008;$198
LIFE LONG AIDS ALLIANCE;06.02.2008;$106
LIGHTHOUSE INC;10/24/2007;$200
LINCOLN CENTER CORPORATE FUND                        ;3/18/2008;$17,500
LINK MEDIA;10/24/2007;$200
LIONS CLUBS INTERNATIONAL FOUNDATION;5/20/2008;$500
LIONS CLUBS INTERNATIONAL FOUNDATION;09.05.2008;$500
LITTLE SISTERS OF THE POOR;9/24/2007;$250
LITTLE TOKYO SERVICE CENTER;12/19/2007;$100
LIVE OUT LOUD;10.12.2007;$125
LONDON BUS SCHOOL RECLASS                              ;11/19/2007;$664,914
LONG BEACH CATHOLIC SCHOOL;02.04.2008;$2,000
LONG BEACH CATHOLIC SCHOOL;09.05.2008;$2,000
LONG ISLAND LUTHERAN HIGH SCHOOL;4/25/2008;$2,000
LOOMIS INSTITUTE;06.10.2008;$125
LOOMIS INSTITUTE;09.05.2008;$250
LOWER LAB SCHOOL PARENT TEACHERS ASSOC;12/19/2007;$475
LOYOLA SCHOOL;7/23/2008;$750
LOYOLA UNIVERSITY CHICAGO;10.05.2007;$1,000
LOYOLA UNIVERSITY CHICAGO;05.01.2008;$250
LUPUS ALLIANCE OF AMERICA;02.04.2008;$50
LUPUS ALLIANCE OF AMERICA;5/14/2008;$50
LUPUS FOUNDATION OF AMERICA;05.07.2008;$200
LYCEE FRANCAIS DE NEW YORK;05.07.2008;$2,000
LYMPHOMA RESEARCH;10.12.2007;$100
LYMPHOMA RESEARCH FOUNDATION;05.07.2008;$400
LYMPHOMA RESEARCH FOUNDATION;09.05.2008;$50
MA'AYANOT YESHIVA HIGH SCHOOL;06.10.2008;$500
MADISON AREA YMCA;7/16/2008;$1,000
MADISON SQUARE BOYS&GIRLS CLUB;5/14/2008;$120
MAHAIWE PERFORMING ARTS CENTER INC;12/13/2007;$1,250
MAIN LINE RESCUE INC;10.12.2007;$500
MAKE A WISH FOUNDATION OF AMERICA;06.10.2008;$250
MAKE A WISH FOUNDATION OF CENTRAL;05.01.2008;$1,000
MALDEN CATHOLIC HIGH SCHOOL;7/16/2008;$250
MANAGEMENT LEADERSHIP FOR TOMORROW;1/16/2008;$150,000
MANAGEMENT LEADERSHIP FOR TOMORROW;06.02.2008;$300
MANHATTAN BEACH EDUCATION FDN;05.01.2008;$1,500
MANHATTAN COLLEGE;05.01.2008;$250
MANHATTAN NEW SCHOOL;12/19/2007;$500
MANHATTAN THEATRE CLUB;3/17/2008;$380
MANHATTANVILLE COLLEGE;06.10.2008;$1,500
MANLIUS PEBLE HILL SCHOOL;05.07.2008;$750
MARC LUSTGARTEN PANCREATIC CANCER;10/24/2007;$150
MARC LUSTGARTEN PANCREATIC CANCER;01.11.2008;$50
MARC LUSTGARTEN PANCREATIC CANCER;5/14/2008;$100
MARC LUSTGARTEN PANCREATIC CANCER;09.05.2008;$50
MARCH OF DIMES;9/21/2007;$50
MARCH OF DIMES;9/21/2007;$125
MARCH OF DIMES;9/21/2007;$650
MARCH OF DIMES;9/21/2007;$1,000
MARCH OF DIMES;10.05.2007;$50
MARCH OF DIMES;10.05.2007;$150
MARCH OF DIMES;10.05.2007;$950
MARCH OF DIMES;10.12.2007;$75
MARCH OF DIMES;10/24/2007;$150
MARCH OF DIMES;3/17/2008;$50
MARCH OF DIMES;05.01.2008;$50
MARCH OF DIMES;05.07.2008;$100
MARCH OF DIMES;06.10.2008;$50
MARCH OF DIMES;7/16/2008;$1,100
MARCH OF DIMES;7/23/2008;$50
MARCH OF DIMES;7/23/2008;$400
MARCH OF DIMES;7/23/2008;$1,075
MARCH OF DIMES;09.05.2008;$401
MARCH OF DIMES;09.05.2008;$575
MARET SCHOOL;05.07.2008;$500
MARIN ATHLETIC FOUNDATION;11/15/2007;$100
MARINE CORPS LAW ENFORCEMENT FOUNDATION;3/17/2008;$500
MARINE TOYS FOR TOTS FOUNDATION;05.01.2008;$50
MARINE TOYS FOR TOTS FOUNDATION;05.07.2008;$500
MARINE TOYS FOR TOTS FOUNDATION;7/16/2008;$50
MARIST COLLEGE;02.04.2008;$1,550
MARIST COLLEGE;05.07.2008;$350
MARK SKINNER LIBRARY;12/19/2007;$1,550
MARQUETTE THERAPEUTIC RECREATION;10.03.2007;$1,100
MARQUETTE THERAPEUTIC RECREATION;09.05.2008;$1,000
MARQUETTE UNIVERSITY;4/25/2008;$100
MARROW FOUNDATION;07.02.2008;$500
MARSHALL CHESS CLUB;4/25/2008;$2,000
MARTIN LUTHER COLLEGE;06.10.2008;$700
MARTIN LUTHER COLLEGE;7/16/2008;$500
MARTIN LUTHER COLLEGE;7/23/2008;$250
MARTINJOHN;10/16/2007;$325
MARTINJOHN;02.01.2008;$325
MARTINJOHN;06.04.2008;$325
MARTINJOHN;7/25/2008;$325
MARYLAND LEADERSHIP WORKSHOPS INC;5/14/2008;$100
MARYMOUNT SCHOOL;05.07.2008;$3,000
MARYMOUNT SCHOOL;06.10.2008;$2,000
MARYMOUNT SCHOOL;09.05.2008;$250
MASS AUDOBON BOSTON NATURE CENTER;12.04.2007;$200
MASSACHUSETTS GENERAL HOSPITAL;12/19/2007;$500
MASSACHUSETTS INST OF TECHNOLOGY;10/24/2007;$100
MASSACHUSETTS INST OF TECHNOLOGY;11/15/2007;$54
MASSACHUSETTS INST OF TECHNOLOGY;11/15/2007;$2,000
MASSACHUSETTS INST OF TECHNOLOGY;12/19/2007;$50
MASSACHUSETTS INST OF TECHNOLOGY;05.01.2008;$1,075
MATCH SCHOOL;07.02.2008;$1,000
MATTHEW LARSON FOUNDATION;10/24/2007;$100
MATTHEW LARSON FOUNDATION;5/14/2008;$500
MAURER FOUNDATION FOR BREAST HEALTH;05.05.2008;$7,500
MAYO CLINIC;06.02.2008;$625
MAZON INC A JEWISH RESPONSE TO HUNGER;12/19/2007;$100
MAZON INC A JEWISH RESPONSE TO HUNGER;05.01.2008;$150
MCCARTER THEATRE;10.05.2007;$1,250
MCCARTER THEATRE;06.10.2008;$150
MEDEA CREEK MIDDLE SCHOOL PTA;07.02.2008;$250
MEDINA CHILDRENS HOME;12.04.2007;$2,000
MEDLEND ORG;10.12.2007;$500
MEMORIAL SLOAN KETTERING CANCER CENTER;10.05.2007;$2,700
MEMORIAL SLOAN KETTERING CANCER CENTER;11/15/2007;$50
MEMORIAL SLOAN KETTERING CANCER CENTER;12/19/2007;$250
MEMORIAL SLOAN KETTERING CANCER CENTER;12/19/2007;$475
MEMORIAL SLOAN KETTERING CANCER CENTER;02.04.2008;$300
MEMORIAL SLOAN KETTERING CANCER CENTER;02.04.2008;$1,750
MEMORIAL SLOAN KETTERING CANCER CENTER;3/27/2008;$15,000
MEMORIAL SLOAN KETTERING CANCER CENTER;05.01.2008;$1,200
MEMORIAL SLOAN KETTERING CANCER CENTER;05.01.2008;$1,750
MEMORIAL SLOAN KETTERING CANCER CENTER;05.07.2008;$50
MEMORIAL SLOAN KETTERING CANCER CENTER;5/14/2008;$250
MEMORIAL SLOAN KETTERING CANCER CENTER;06.10.2008;$75
MEMORIAL SLOAN KETTERING CANCER CENTER;7/16/2008;$250
MEMORIAL SLOAN KETTERING CANCER CENTER;09.05.2008;$50
MEMORIAL SLOAN KETTERING CANCER CENTER;09.05.2008;$550
MENLO PARK ATHERTON EDUCATION;12/19/2007;$2,000
MENLO PARK ATHERTON EDUCATION;7/23/2008;$2,000
MENOMONEE CLUB;10/24/2007;$2,000
MERCY CORPS;09.05.2008;$500
MERCY FIRST;08.05.2008;$100
MEREDITH COLLEGE;3/17/2008;$100
MERIDEN SOUP KITCHEN;06.10.2008;$100
MESAMCHE LEV VIYOEL MOISHE INC;3/17/2008;$117
METROPOLITAN MONTESSORI SCHOOL;5/20/2008;$2,000
METROPOLITAN MUSEUM OF ART;12/19/2007;$500
METROPOLITAN MUSEUM OF ART;05.01.2008;$1,764
METROPOLITAN NY COORDINATING COUNCIL ON;3/17/2008;$2,100
METROPOLITAN NY COORDINATING COUNCIL ON;4/25/2008;$100
METROPOLITAN OPERA ASSOCIATION;09.05.2008;$1,000
METROPOLITAN OPERA GUILD;12/19/2007;$350
METROPOLITAN OPERA GUILD;09.05.2008;$125
METROPOLITAN YMCA OF THE ORANGES INC;5/20/2008;$250
MHE RESEARCH FOUNDATION;4/25/2008;$600
MIAMI UNIVERSITY;10.05.2007;$500
MICHAEL J.FOX FOUNDATION FOR;10/24/2007;$500
MICHAEL J.FOX FOUNDATION FOR;06.02.2008;$350
MICHAEL J.FOX FOUNDATION FOR;7/23/2008;$100
MICHIGAN STATE UNIVERSITY;07.02.2008;$750
MIDDLEBURY COLLEGE;9/19/2007;$255
MIDDLEBURY COLLEGE;9/19/2007;$509
MIDDLEBURY COLLEGE;9/19/2007;$509
MIDDLEBURY COLLEGE;10.05.2007;$250
MIDDLEBURY COLLEGE;05.01.2008;$100
MIDDLEBURY COLLEGE;05.07.2008;$150
MIDDLEBURY COLLEGE;06.10.2008;$500
MIDDLESEX SCHOOL;12.04.2007;$1,000
MIDTOWN GREENWAY;4/25/2008;$100
MILFORD REGIONAL MEDICAL CENTER;05.07.2008;$100
MILLBROOK SCHOOL;09.05.2008;$300
MILLER PTA;07.02.2008;$100
MILO FOUNDATION;12.04.2007;$250
MILTON ACADEMY-MA;7/23/2008;$800
MILTON AND ROSE D FRIEDMAN;10.08.2007;$100
MINDS MATTER OF NYC INC;02.04.2008;$50
MINDS MATTER OF NYC INC;05.01.2008;$17,110
MINDS MATTER OF NYC INC;05.07.2008;$1,750
MINDS MATTER OF NYC INC;06.10.2008;$1,000
MINDS MATTER OF NYC INC;7/16/2008;$125
MINNESOTA FOOD SHARE;4/25/2008;$200
MIRACLE FOUNDATION;02.04.2008;$500
MISSION 4 MAUREEN;07.02.2008;$250
MISSISSIPPI STATE UNIVERSITY;12.04.2007;$1,000
MIXOGRAFIA;03.07.2008;$392
MOLLOY COLLEGE;10.05.2007;$2,000
MONMOUTH MEDICAL CENTER;4/25/2008;$1,500
MONTANA LAND RELIANCE;11/15/2007;$500
MONTANA STATE UNIVERSITY FOUNDATION;11/15/2007;$500
MONTCLAIR AMBULANCE UNIT;09.05.2008;$150
MONTCLAIR ART MUSEUM;10/24/2007;$500
MONTCLAIR ART MUSEUM;05.07.2008;$500
MONTCLAIR ART MUSEUM;7/16/2008;$1,000
MONTCLAIR KIMBERLY ACADEMY;02.04.2008;$350
MONTCLAIR KIMBERLY ACADEMY;05.07.2008;$250
MONTCLAIR KIMBERLY ACADEMY;5/14/2008;$1,000
MONTCLAIR KIMBERLY ACADEMY;06.10.2008;$500
MONTEFIORE MEDICAL CENTER;06.10.2008;$300
MONTEFIORE MEDICAL CENTER;7/16/2008;$100
MONTESSORI ASSOCIATIOIN OF;05.07.2008;$2,000
MONTEVERDE FRIENDS US;4/25/2008;$236
MOREHOUSE COLLEGE;9/18/2007;$6,000
MOREHOUSE COLLEGE;9/24/2007;$10,000
MOREHOUSE COLLEGE;06.10.2008;$650
MOREHOUSE COLLEGE;8/22/2008;$7,500
MORRIS LAND CONSERVANCY;07.02.2008;$200
MORRISTOWN MEMORIAL HEALTH FOUNDATION;12/19/2007;$500
MORRY'S CAMP;12/19/2007;$100
MOUNT HEBRON DAY CARE;12/19/2007;$110
MOUNT SINAI SCHOOL OF MEDICINE;02.04.2008;$100
MOUNT TAMALPAIS SCHOOL;02.04.2008;$2,000
MOUNTAIN LAKES PUBLIC LIBRARY;05.01.2008;$250
MOUNTAIN STATES CHILDRENS HOME;12.04.2007;$500
MUHLENBERG COLLEGE;05.07.2008;$250
MULTIPLE MYELOMA RESEARCH;5/14/2008;$1,000
MUSCULAR DYSTROPHY ASSOCIATION;10/16/2007;$100
MUSCULAR DYSTROPHY ASSOCIATION;05.01.2008;$200
MUSEUM OF DISCOVERY AND SCIENCE;7/16/2008;$675
MUSEUM OF MODERN ART;06.10.2008;$500
MUSTARD SEED COMMUNITIES;12.04.2007;$600
MUSTARD SEED COMMUNITIES;1/15/2008;$500
MUSTARD SEED SCHOOL;05.07.2008;$2,000
MY HOUSE;9/19/2007;$1,500
NASHOBA BROOKS SCHOOL;7/16/2008;$500
NATIONAL ARBOR DAY FOUNDATION;03.03.2008;$100
NATIONAL ASSOCIATION OF WOMEN MBAs;10/19/2007;$7,500
NATIONAL BLACK MBA ASSOC INC;3/17/2008;$16,750
NATIONAL BUSINESS AND DISABILITY COUNCIL;10/24/2007;$3,500
NATIONAL CENTER FOR MISSING &;12/19/2007;$50
NATIONAL CENTER FOR MISSING &;09.05.2008;$50
NATIONAL COUNCIL FOR RESEARCH ON WOMEN;1/22/2008;$25,000
NATIONAL FISH AND WILDLIFE;05.01.2008;$500
NATIONAL FOUNDATION FOR CANCER RESEARCH;9/21/2007;$1,000
NATIONAL JEWISH OUTREACH PROGRAM;12/19/2007;$100
NATIONAL KIDNEY FOUNDATION;12/19/2007;$75
NATIONAL KIDNEY FOUNDATION;01.10.2008;$250
NATIONAL KIDNEY FOUNDATION;02.04.2008;$200
NATIONAL MINORITY SUPPLIER DEVELOPMENT;10/29/2007;$1,000
NATIONAL MINORITY SUPPLIER DEVELOPMENT;2/19/2008;$25,000
NATIONAL MS SOCIETY;11/15/2007;$50
NATIONAL MS SOCIETY;12/19/2007;$100
NATIONAL MS SOCIETY;5/14/2008;$2,105
NATIONAL MS SOCIETY;7/16/2008;$50
NATIONAL MS SOCIETY;7/23/2008;$100
NATIONAL MS SOCIETY;09.05.2008;$100
NATIONAL MS SOCIETY;09.05.2008;$150
NATIONAL MS SOCIETY-NORTHERN CA CHAPTER;12.10.2007;$150
NATIONAL MULTIPLE SCLEROSIS FOUNDATION;09.05.2008;$3,475
NATIONAL MULTIPLE SCLEROSIS SOCIETY;10.05.2007;$1,590
NATIONAL MULTIPLE SCLEROSIS SOCIETY;10/16/2007;$60
NATIONAL MULTIPLE SCLEROSIS SOCIETY;11/15/2007;$50
NATIONAL MULTIPLE SCLEROSIS SOCIETY;11/15/2007;$50
NATIONAL MULTIPLE SCLEROSIS SOCIETY;11/15/2007;$100
NATIONAL MULTIPLE SCLEROSIS SOCIETY;11/15/2007;$250
NATIONAL MULTIPLE SCLEROSIS SOCIETY;11/15/2007;$300
NATIONAL MULTIPLE SCLEROSIS SOCIETY;12/19/2007;$150
NATIONAL MULTIPLE SCLEROSIS SOCIETY;12/19/2007;$900
NATIONAL MULTIPLE SCLEROSIS SOCIETY;02.04.2008;$50
NATIONAL MULTIPLE SCLEROSIS SOCIETY;02.04.2008;$660
NATIONAL MULTIPLE SCLEROSIS SOCIETY;05.01.2008;$50
NATIONAL MULTIPLE SCLEROSIS SOCIETY;05.01.2008;$150
NATIONAL MULTIPLE SCLEROSIS SOCIETY;05.07.2008;$50
NATIONAL MULTIPLE SCLEROSIS SOCIETY;5/14/2008;$350
NATIONAL MULTIPLE SCLEROSIS SOCIETY;06.10.2008;$50
NATIONAL MULTIPLE SCLEROSIS SOCIETY;06.10.2008;$50
NATIONAL MULTIPLE SCLEROSIS SOCIETY;7/16/2008;$100
NATIONAL MULTIPLE SCLEROSIS SOCIETY;7/16/2008;$200
NATIONAL MULTIPLE SCLEROSIS SOCIETY;7/23/2008;$50
NATIONAL MULTIPLE SCLEROSIS SOCIETY;09.05.2008;$50
NATIONAL MULTIPLE SCLEROSIS SOCIETY;09.05.2008;$50
NATIONAL MULTIPLE SCLEROSIS SOCIETY;09.05.2008;$100
NATIONAL MULTIPLE SCLEROSIS SOCIETY;09.05.2008;$100
NATIONAL MULTIPLE SCLEROSIS SOCIETY;09.05.2008;$1,000
NATIONAL OVARIAN CANCER COALITION INC;10.12.2007;$150
NATIONAL PARK FOUNDATION;3/17/2008;$250
NATIONAL TROPICAL BOTANICAL GARDEN;7/16/2008;$2,000
NATIONAL TRUST FOR HISTORIC PRESERVATION;11/15/2007;$200
NAT'L ALUMNAE ASSOC OF SPELMAN COLLEGE;3/27/2008;$5,000
NATURE CONSERVANCY;05.01.2008;$50
NATURE CONSERVANCY;05.07.2008;$75
NATURE CONSERVANCY;07.02.2008;$2,000
NAZARETH REGIONAL HIGH SCHOOL;3/17/2008;$2,000
NEW AMERICAN ALLIANCE;9/27/2007;$15,000
NEW JERSEY FOLK FESTIVAL INC;10.05.2007;$250
NEW JERSEY FOLK FESTIVAL INC;7/23/2008;$575
NEW JERSEY SEEDS INC;10.12.2007;$100
NEW LIFE OF NY CITY;1/22/2008;$1,395
NEW SCHOOL;3/17/2008;$100
NEW SCHOOL;7/16/2008;$100
NEW SONG COMMUNITY CORPORATION;4/25/2008;$200
NEW YORK ASIAN WOMENS CENTER;05.01.2008;$1,000
NEW YORK BOTANICAL GARDEN;02.04.2008;$125
NEW YORK CARES;10/19/2007;$15,770
NEW YORK CARES;11.06.2007;$5,000
NEW YORK CARES;01.09.2008;$488
NEW YORK CARES;02.04.2008;$200
NEW YORK CARES;06.04.2008;$315
NEW YORK CARES;06.04.2008;$374
NEW YORK CARES;6/20/2008;$1,162
NEW YORK CARES;09.05.2008;$50
NEW YORK CARES;09.08.2008;$1,581
NEW YORK CHORAL SOCIETY INC;05.07.2008;$1,000
NEW YORK CITY BALLET INC;10.05.2007;$180
NEW YORK CITY POLICE FOUNDATIO                         ;12/19/2007;$250
NEW YORK CITY POLICE FOUNDATIO                         ;01.10.2008;$500
NEW YORK CITY POLICE FOUNDATIO                         ;05.01.2008;$1,200
NEW YORK CITY POLICE FOUNDATIO                         ;05.07.2008;$800
NEW YORK CITY POLICE FOUNDATIO                         ;09.05.2008;$150
NEW YORK CITY POLICE FOUNDATION;03.07.2008;$15,000
NEW YORK FOUNDATION FOR THE ARTS;12/19/2007;$2,000
NEW YORK FOUNDATION FOR THE ARTS;05.01.2008;$2,000
NEW YORK INSTITUTE OF TECHNOLOGY;05.01.2008;$100
NEW YORK JUNIOR TENNIS LEAGUE;05.01.2008;$500
NEW YORK LAW SCHOOL;05.01.2008;$1,000
NEW YORK PET-I-CARE;05.07.2008;$2,000
NEW YORK PET-I-CARE;5/14/2008;$250
NEW YORK PHILHARMONIC;11/15/2007;$236
NEW YORK PRESBYTERIAN HOSPITAL;11/15/2007;$100
NEW YORK PRESBYTERIAN HOSPITAL;05.07.2008;$750
NEW YORK PUBLIC LIBRARY;10.05.2007;$500
NEW YORK PUBLIC LIBRARY;02.04.2008;$350
NEW YORK PUBLIC LIBRARY;7/16/2008;$80
NEW YORK RESTORATION PROJECT;11/20/2007;$25,000
NEW YORK RESTORATION PROJECT;02.04.2008;$100
NEW YORK ROAD RUNNERS FND;10/24/2007;$725
NEW YORK ROAD RUNNERS FND;11/15/2007;$700
NEW YORK ROAD RUNNERS FND;12/19/2007;$500
NEW YORK ROAD RUNNERS FND;02.04.2008;$750
NEW YORK ROAD RUNNERS FND;05.07.2008;$250
NEW YORK ROAD RUNNERS FND;5/14/2008;$1,200
NEW YORK THEATRE WORKSHOP INC;05.01.2008;$250
NEW YORK THEATRE WORKSHOP INC;06.10.2008;$250
NEW YORK THEOLOGICAL SEMINARY;12.04.2007;$125
NEW YORK TIMES NEEDIEST CASES FUND;7/16/2008;$400
NEW YORK UNIVERSITY;9/18/2007;$1,500
NEW YORK UNIVERSITY;9/18/2007;$1,500
NEW YORK UNIVERSITY;9/20/2007;$600
NEW YORK UNIVERSITY;9/20/2007;$1,200
NEW YORK UNIVERSITY;9/20/2007;$2,000
NEW YORK UNIVERSITY;10.05.2007;$2,850
NEW YORK UNIVERSITY;10/24/2007;$125
NEW YORK UNIVERSITY;12/19/2007;$50
NEW YORK UNIVERSITY;05.01.2008;$1,200
NEW YORK UNIVERSITY;05.07.2008;$3,000
NEW YORK UNIVERSITY;06.10.2008;$2,500
NEW YORK UNIVERSITY;06.10.2008;$3,750
NEW YORK UNIVERSITY;6/27/2008;$5,000
NEW YORK UNIVERSITY;7/16/2008;$300
NEW YORK UNIVERSITY;7/23/2008;$2,000
NEW YORK UNIVERSITY;7/23/2008;$4,000
NEW YORK UNIVERSITY;7/24/2008;$2,000
NEW YORK UNIVERSITY;7/30/2008;$1,250
NEW YORK UNIVERSITY;7/30/2008;$2,000
NEW YORK UNIVERSITY;09.08.2008;$500
NEW YORK UNIVERSITY;09.08.2008;$1,250
NEW YORK UNIVERSITY;09.08.2008;$2,000
NEW YORK WOMENS FOUNDATION;10.05.2007;$2,000
NEW YORK WOMENS FOUNDATION;10.12.2007;$125
NEW YORK WOMENS FOUNDATION;04.02.2008;$25,000
NEW YORK WOMENS FOUNDATION;05.01.2008;$50
NEW YORK WOMENS FOUNDATION;05.07.2008;$450
NEW YORK WOMENS FOUNDATION;7/16/2008;$125
NEW YORK YOUTH SYMPHONY INC;05.01.2008;$100
NEW YORK/NEW JERSEY MINORITY PURCHASING;12.06.2007;$800
NEW YORK/NEW JERSEY MINORITY PURCHASING;6/20/2008;$1,800
NEW YORK/NEW JERSEY MINORITY S                         ;11/30/2007;$800
NEW YORK-NASP FOUNDATION;11/20/2007;$5,000
NEW YORKO;11/15/2007;$2,000
NEWARK ACADEMY;3/17/2008;$150
NEWARK ACADEMY;5/14/2008;$100
NEWARK SCHOOL OF THE ARTS INC;7/23/2008;$100
NEWBRIDGE SERVICES;11/15/2007;$500
NEWYORKSCO;11/15/2007;$250
NEXUS SCHOOL;05.01.2008;$100
NICHOLASFR;1/31/2008;$35
NICHOLASFR;2/21/2008;$35
NICHOLASFR;3/20/2008;$108
NICHOLASFR;6/25/2008;$114
NICHOLASFR;08.08.2008;$76
NICHOLASFR;08.08.2008;$86
NICHOLASFR;09.03.2008;$30
NICHOLASFR;09.03.2008;$530
NIELS BORCH JENSEN;9/25/2007;$315
NIGHTINGALE-BAMFORD SCHOOL;02.04.2008;$2,000
NJSA;7/16/2008;$800
NOBLE AND GREENOUGH SCHOOL;10.05.2007;$500
NOKOMIS REGIONAL HIGH SCHOOL;12.04.2007;$750
NORTH AMERICAN JAT CHARITIES;05.07.2008;$2,000
NORTH SHORE ANIMAL LEAGUE;05.01.2008;$100
NORTH SHORE ANIMAL LEAGUE;05.07.2008;$100
NORTH SHORE LONG ISLAND JEWISH;7/16/2008;$1,296
NORTH SHORE LONG ISLAND JEWISH;09.05.2008;$50
NORTH SHORE MEDICAL CENTER;10.05.2007;$2,000
NORTH SHORE MEDICAL CENTER;10/24/2007;$1,600
NORTH TEXAS FOOD BANK;5/14/2008;$240
NORTHERN MANHATTAN IMPROVEMENT CORP;4/25/2008;$2,000
NORTHERN WESTCHESTER HOSPITAL;5/20/2008;$250
NORTHERN WESTCHESTER HOSPITAL;7/16/2008;$1,000
NORTHWESTE;9/25/2007;$213
NORTHWESTE;1/22/2008;$212
NORTHWESTERN UNIVERSITY;10.05.2007;$1,050
NORTHWESTERN UNIVERSITY;10/24/2007;$250
NORTHWESTERN UNIVERSITY;05.01.2008;$1,000
NORTHWESTERN UNIVERSITY;05.07.2008;$70
NORTHWESTERN UNIVERSITY;7/16/2008;$100
NORWALK HOSPITAL FOUNDATION INC;10.12.2007;$250
NOTRE DAME HIGH SCHOOL FOR BOYS;05.07.2008;$2,000
NPT BREAST CANCER;11/15/2007;$150
NPT BREAST CANCER;7/16/2008;$850
NPT BREAST CANCER;09.05.2008;$200
NPT BREAST CANCER 3-DAY;10.05.2007;$470
NPT BREAST CANCER 3-DAY;10/24/2007;$300
NPT BREAST CANCER 3-DAY;11/15/2007;$1,150
NPT BREAST CANCER 3-DAY;12.05.2007;$1,000
NPT BREAST CANCER 3-DAY;02.04.2008;$50
NPT BREAST CANCER 3-DAY;05.01.2008;$150
NPT BREAST CANCER 3-DAY;5/14/2008;$110
NPT BREAST CANCER 3-DAY;06.10.2008;$100
NPT BREAST CANCER 3-DAY;7/16/2008;$1,000
NPT BREAST CANCER 3-DAY;7/23/2008;$100
NPT BREAST CANCER 3-DAY;09.05.2008;$100
NYC GAY & LESBIAN ANTI-VIOLENCE PROJECT;02.04.2008;$150
NYC LAB SCHOOL FOR COLLABORATIVE STUDIES;11/15/2007;$250
NYU MEDICAL CENTER;02.04.2008;$1,000
OAK HILLS PTA;05.07.2008;$250
OCEANS HARBOR HOUSE FOUNDATION;10.05.2007;$200
OHEL CHILDREN'S HOME;10/24/2007;$300
OHEL CHILDREN'S HOME AND FAMILY SERVICES;05.01.2008;$550
ONE FAMILY FUND;7/16/2008;$1,000
OPEN DOOR FAMILY MEDICAL CENTERS;11/15/2007;$2,000
OPENHOUSE NEW YORK;08.06.2008;$250
OPERA COMPANY OF PHILADELPHIA;10.05.2007;$174
OPERA COMPANY OF PHILADELPHIA;7/16/2008;$570
OPERA COMPANY OF PHILADELPHIA;09.05.2008;$380
OPERATION SECOND CHANCE;4/25/2008;$500
OPERATION SMILE INC;05.01.2008;$1,000
